
8020,Priority,Product title,Product variant title,Product variant SKU,Lifecycle,Product variant ID
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Halloween,CARL36SB-9-HAL,Fixed Clearance,38087197163718
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Natural,CARL36SB-9-NAT,Fixed Clearance,32422849019975
80,1,Carlson - 36in Splash Bars - Green Machines,Green,CARL36GMSB-GRN,Full Price Until Gone,32431361294407
,1,Carlson - 36in Splash Bars - Green Machines,Rainbow,CARL36GMSB-RBW,Full Price Until Gone,32431361327175
,1,Carlson - 36in Splash Bars - Green Machines,Purple/Black,CARL36GMSB-PURBLK,Full Price Until Gone,32431361392711
,1,Carlson - 36in Splash Bars - Green Machines,Pink/White,CARL36GMSB-PNKWHT,Fixed Clearance,32492088623175
,1,Carlson - 36in Splash Bars - Green Machines,Parrot,CARL36GMSB-PAR,Fixed Clearance,39877350490310
80,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Green Mackerel,CARLULT36-13-GMAC,Buy - Standard,42461946675398
80,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Wine,CARLULT36-13-WINE,Fixed Clearance,42461946609862
80,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Joker,CARLULT36-13-JOKR,Buy - Standard,42461946872006
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Black w/ Red Vein,CARLULT36-13-BLKRV,Buy - Standard,42461946577094
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Herring,CARLULT36-13-HER,Fixed Clearance,42461946642630
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Halloween,CARLULT36-13-HAL,Fixed Clearance,42461946708166
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Blue Mackerel (Glow),CARLULT36-13-BLUMAC,Buy - Standard,42461946740934
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Pink,CARLULT36-13-PNK,Buy - Standard,42461946839238
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Green/Red,,,42461946937542
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Natural,CARLULT36-13-NAT,Fixed Clearance,42461946773702
,1,Carlson - 36in Ultimate Bird Bar - 13in Fuku Squids,Brown/Orange,,,42461946806470
80,1,Carlson - Commercial Harpoon Setup,9ft - 2-Piece,,,32454548389959
80,1,Carlson - Rigged and Sharpened Harpoon Dart,Single,CARL-DART-RIGGED,Buy - Standard,43105632485574
80,1,Carlson - Rigged Harpoon Darts with Bag,2 Pack w/ Bag,CARL-2PKDARTBAG,Buy - Hold,43105616429254
,1,ChatterLures - 19in Side Tracker with Mini Bullets,Blue/White,CHATTER-19ST-MINIBULLET-BLU/WHT,,44728671207622
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Purple,CHATTER-19ST-9M-PUR,Buy - Standard,40956433662150
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Green,CHATTER-19ST-9M-GRN,Buy - Standard,40956433596614
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Sandeel,CHATTER-19ST-9M-SNDEL,Buy - Standard,40956433563846
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Zucchini,CHATTER-19ST-9M-ZUC,Buy - Standard,40956433498310
80,1,ChatterLures - 19in Side Trackers - 9in Machines,White,CHATTER-19ST-9M-WHT,Buy - Standard,40956433465542
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Black,CHATTER-19ST-9M-BLK,Buy - Standard,40956433432774
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Pink,CHATTER-19ST-9M-PNK,Buy - Standard,40956433531078
80,1,ChatterLures - 19in Side Trackers - 9in Machines,Lemon Lime,CHATTER-19ST-9M-LL,Buy - Standard,40956433400006
,1,ChatterLures - 19in Side Trackers - 9in Machines,Green Zebra,CHATTER-19ST-9M-GRZB,Buy - Standard,41757793648838
,1,ChatterLures - 19in Side Trackers - 9in Machines,Rainbow,CHATTER-19ST-9M-RBW,Buy - Standard,40956433629382
,1,ChatterLures - 24in Wingman Side Tracker with 9in Bulb Squid,24in - 9in Floating Shell Squid / Calamari,CHATTER-24STWM-9FS-CAL,Buy - Standard,45595478425798
,1,"ChatterLures - 36"" Side Tracker - 6in Floating Squid",Sandeel,CHATTER-36ST-6FS-SNDEL,Buy - Standard,40966830031046
80,1,ChatterLures - 36in Side Tracker - 6in Machines,Zucchini,CHATTER-36ST-6M-ZUC,Full Price Until Gone,40824800510150
